工作計畫名稱及預算數(僅列補助團體私人預算金額),補助事項或用途,補助對象(團體全銜或私人姓名)        ,核准日期,補助計畫案總經費及分攤情形-本機關補助金額,補助計畫案總經費及分攤情形-他機關補助金額,補助計畫案總經費及分攤情形-團體或私人自付金額,補助計畫案總經費及分攤情形-合計,截至本季累計撥款金額,分攤補助款機關名稱及金額(請逐一填列),有無涉及財物或勞務採購,處理方式(如未涉及採購則毋須填列如採公開招標請填列得標廠商),是否為除外規定之民間團體-是,是否為除外規定之民間團體-否,
國民中學學務管理及獎補助(3366000元),108學年度第2學期國中技藝教育課程開辦經費,四維學校財團法人花蓮縣四維高級中學,109/2/21,"153,400 ",0 ,0 ,"153,400 ","153,400 ",,無,,v,,
,108學年度第2學期國中技藝教育課程開辦經費,上騰學校財團法人花蓮縣上騰高級工商職業學校,109/2/21,"665,280 ",0 ,0 ,"665,280 ","665,280 ",,無,,v,,
,108學年度第2學期國中技藝教育課程開辦經費-慈大附中國中部,慈濟學校財團法人慈濟大學附屬高級中學,109/2/21,"15,000 ",0 ,0 ,"15,000 ","15,000 ",,無,,v,,
,108學年度第2學期國中技藝教育課程開辦經費,財團法人臺灣省花蓮縣私立海星高級中學,109/2/21,"240,032 ",0 ,0 ,"240,032 ","240,032 ",,無,,v,,
,108學年度第2學期國中技藝教育課程開辦經費,慈濟學校財團法人慈濟科技大學,109/2/21,"77,220 ",0 ,0 ,"77,220 ","77,220 ",,無,,v,,
,108學年度第2學期國中技藝教育課程開辦經費-私立海星中學國中部,財團法人臺灣省花蓮縣私立海星高級中學,109/2/21,"7,200 ",0 ,0 ,"7,200 ","7,200 ",,無,,v,,
國民中學課務管理及獎補助(1565000元),108學年度第2學期私立國中課後輔導經費-私立海星中學國中部,財團法人臺灣省花蓮縣私立海星高級中學,109/3/24,"189,440 ",0 ,0 ,"189,440 ","189,440 ",,無,,v,,
,108學年度第2學期私立國中課後輔導經費,慈濟學校財團法人慈濟大學附屬高級中學,109/3/24,"398,120 ",0 ,0 ,"398,120 ","398,120 ",,無,,v,,
中央政府補助國民中學教育經費,支慈大附中(國中部)108學年度國民中學生涯發展教育第2期經費,慈濟學校財團法人慈濟大學附屬高級中學,109/3/9,"41,600 ",0 ,0 ,"41,600 ","41,600 ",,無,,v,,
國民小學學務管理及獎補助,支補助DOC辦理109年數位機會中心行動近用計畫經費,花蓮縣吉安鄉干城社區發展協會,109/3/2,"21,000 ",0 ,0 ,"21,000 ","21,000 ",,無,,v,,
,支補助DOC辦理109年數位機會中心行動近用計畫經費,花蓮縣鳳林鎮北林三村社區發展協會,109/3/2,"22,000 ",0 ,0 ,"22,000 ","22,000 ",,無,,v,,
,支補助DOC辦理109年數位機會中心行動近用計畫經費,花蓮縣玉里鎮高寮社區發展協會,109/3/2,"23,000 ",0 ,0 ,"23,000 ","23,000 ",,無,,v,,
,支補助DOC辦理109年數位機會中心行動近用計畫經費,花蓮縣布農文化教育關懷協會,109/3/2,"21,000 ",0 ,0 ,"21,000 ","21,000 ",,無,,v,,
,支補助DOC辦理109年數位機會中心行動近用計畫經費,社團法人花蓮縣牛犁社區交流協會,109/3/2,"25,000 ",0 ,0 ,"25,000 ","25,000 ",,無,,v,,
,補助DOC辦理109年花蓮縣數位機會中心營運計畫經費,社團法人花蓮縣牛犁社區交流協會,109/3/2,"920,000 ",0 ,0 ,"920,000 ","920,000 ",,無,,v,,
,補助DOC辦理109年花蓮縣數位機會中心營運計畫經費,花蓮縣豐濱鄉豐濱社區發展協會,109/3/2,"430,000 ",0 ,0 ,"430,000 ","430,000 ",,無,,v,,
,補助辦理「手機不會告訴你的事」活動經費,財團法人周大觀文教基金會,109/5/28,"100,000 ",0 ,0 ,"100,000 ","100,000 ",,無,,v,,
國民小學課務管理及獎補助,支108學年度活化分組合作學習-慈濟小學,慈濟學校財團法人慈濟大學附屬高級中學,109/1/14,"5,000 ","45,000 ",0 ,"50,000 ","5,000 ",教育部國民及學前教育署45000元(代收代付),無,,v,,
,支109年度教學基地學校建置與發展計畫-慈濟小學,慈濟學校財團法人慈濟大學附屬高級中學,109/2/26,"10,000 ",0 ,0 ,"10,000 ","10,000 ",,無,,v,,
,辦理109年兒童多元文化雙語體驗營,社團法人花蓮縣兒童多元智能發展教育學會,108/12/31,"220,150 ",0 ,"56,000 ","276,150 ","220,150 ",,無,,v,,
,108學年度第2學期國小課輔課照,財團法人花蓮縣私立海星國民小學,109/5/26,"424,710 ",0 ,0 ,"424,710 ","424,710 ",,無,,v,,
